L20	0.3318572883	0.3241195755	0.3816193324	0.3746441429	0.1103378711	0.1102158196	0.1114770739	0.4670535144	0.1102276436	0.4310476512	0.0000000000	0.0165711000	0.0969154506	0.1044785758	0.1131744185	0.1073607131	0.1043879109	0.1002604219	0.1003350650	0.1062098090	0.4495915327	0.1281669986	0.1214549888	0.1169132440	0.1199119481	0.1258750065	0.1212475145	0.1200797295	0.1188058509	0.1125398020	0.1153471250	0.4418039122	0.1123120722	0.4006892397	0.3782050724	0.3807600020	0.3926971087	0.3763188112	0.3857384228	0.3869789508	0.3820226074	0.3807428003	0.3869078469	0.3900902433	0.3961431927	0.3897909962	0.3822898319	0.3833163968	0.3940469039	0.3823967460	0.1047816677	0.3865306191	0.3953062019	0.3808079378	0.3366730324	0.3358929488	0.1045645862	0.3265396061	0.3856842760	0.3982388859	0.3873380766	0.3903272446	0.3990289654	0.4008051169	0.3720535456	0.3775739010	0.3682616622	0.3643922053	0.3692366565	0.3708868717	0.3903723513	0.3903253324	0.3902763460	0.3926945534	0.3900386361	0.3741829166	0.3990679079	0.3860606889	0.3885761607	0.3960102779	0.3645430905	0.3845562172	0.3859430695	0.3885039543	0.3595939951	0.1178781246	0.1150696488	0.1099978363	0.3073667434	0.3535399088	0.3608095840	0.3718303381	0.3786607824	0.3880146534	0.1186153117	0.5026340738	0.1305951723	0.3970108878
L21	0.3315786896	0.3285741772	0.3831999099	0.3775926690	0.1140592040	0.1173167659	0.1192732595	0.4698229651	0.1175636925	0.4317875767	0.0165711000	0.0000000000	0.0984343286	0.1070268295	0.1155362764	0.1090093482	0.1044947309	0.1023411857	0.1039677208	0.1079785095	0.4443587420	0.1294683876	0.1188305172	0.1239661198	0.1250764473	0.1291866488	0.1206113940	0.1221304949	0.1163599592	0.1109604576	0.1173350454	0.4439734700	0.1119643366	0.3943501475	0.3800993712	0.3877526209	0.3932172069	0.3892622134	0.3868561340	0.3853532199	0.3772565273	0.3837620799	0.3796520205	0.3906337881	0.3973615806	0.3966552577	0.3853482105	0.3856193203	0.3907375384	0.3842171180	0.1017888089	0.3846980696	0.3970228520	0.3843669065	0.3350209642	0.3288125399	0.1053178356	0.3197644917	0.3783809257	0.3937738165	0.3925030888	0.3969273218	0.3973221816	0.4076032016	0.3723247104	0.3601426298	0.3508427040	0.3501489908	0.3511165690	0.3552009630	0.3915670949	0.3856538908	0.3876126256	0.3939897073	0.3858544965	0.3703685601	0.3944058335	0.3829883589	0.3936085547	0.3922246916	0.3706013430	0.3915584672	0.3850551011	0.3827043984	0.3689427342	0.1156872450	0.1173668659	0.1122145335	0.2875567306	0.3378154338	0.3471575505	0.3500648371	0.3670353738	0.3834493483	0.1193600073	0.5076178103	0.1364656588	0.3968917687
L22	0.3171992798	0.3142158852	0.3714056360	0.3703559739	0.1109741853	0.1168476529	0.1070978571	0.4750548309	0.1107251805	0.4351908986	0.0969154506	0.0984343286	0.0000000000	0.0384062871	0.1228366768	0.0973012509	0.1029939825	0.1052389656	0.0990860691	0.1051011590	0.4494635377	0.1283842493	0.1257746216	0.1242892323	0.1230068025	0.1296214051	0.1234817336	0.1277118633	0.1282623212	0.1170869220	0.1196940313	0.4370568394	0.1235586878	0.4030103951	0.3596322501	0.3680154731	0.3761535797	0.3624969337	0.3801098269	0.3784195178	0.3690162134	0.3711511573	0.3873790821	0.3721295618	0.3808105278	0.3795252915	0.3734881459	0.3712242948	0.3801467977	0.3679977195	0.1077788302	0.3820431615	0.3797993612	0.3761247702	0.3270188179	0.3281731625	0.1054054721	0.3174869906	0.3755538892	0.3856956634	0.3766467302	0.3751686893	0.3956258024	0.4036361112	0.3681587607	0.3603855742	0.3531917918	0.3498534105	0.3531124620	0.3580717967	0.3798586075	0.3756236508	0.3781008086	0.3809556200	0.3796444496	0.3561863206	0.3837627345	0.3690635855	0.3768447579	0.3793471477	0.3711038971	0.3729780068	0.3821006966	0.3725274141	0.3878636608	0.1231852220	0.1286899513	0.1186704720	0.2906437243	0.3318239037	0.3449754998	0.3662127118	0.3601976438	0.3688887460	0.1251863231	0.5106893875	0.1338033927	0.3879025250
L23	0.3274857145	0.3198450414	0.3768499836	0.3703823993	0.1195710717	0.1216631820	0.1189234304	0.4743729412	0.1201284313	0.4375597729	0.1044785758	0.1070268295	0.0384062871	0.0000000000	0.1284207601	0.1015258931	0.1117255588	0.1139761539	0.1062513998	0.1126234632	0.4515411927	0.1343034802	0.1322157765	0.1321947988	0.1296821404	0.1367709491	0.1304552978	0.1300033603	0.1344414818	0.1253317013	0.1281776339	0.4426842141	0.1279026248	0.4012005810	0.3651764635	0.3714422876	0.3802450643	0.3672454083	0.3715445416	0.3799780090	0.3704998091	0.3682058946	0.3898003716	0.3764961821	0.3848912115	0.3788886045	0.3781798512	0.3800074697	0.3860988494	0.3748064329	0.1149679684	0.3772142161	0.3830447231	0.3779614612	0.3346260726	0.3282255943	0.1164458697	0.3193610204	0.3746035689	0.3832975402	0.3820326632	0.3836678367	0.3925123160	0.4087232408	0.3667718101	0.3640240123	0.3624299842	0.3568526423	0.3585505661	0.3593869912	0.3837386458	0.3819700488	0.3825501882	0.3879100162	0.3842081687	0.3596316566	0.3906288466	0.3798971547	0.3829306374	0.3851924485	0.3657646802	0.3741578106	0.3802007496	0.3729461703	0.3726851931	0.1245718781	0.1299686118	0.1233337153	0.2935651928	0.3407667123	0.3611164619	0.3610135797	0.3674134816	0.3781001836	0.1261253112	0.5086856093	0.1392945988	0.3880286348
L24	0.2859058001	0.2645816603	0.3275761685	0.3098765461	0.1077769236	0.1117067954	0.1100362536	0.4147040213	0.1067970747	0.3964142280	0.1131744185	0.1155362764	0.1228366768	0.1284207601	0.0000000000	0.0829796886	0.1055533181	0.1128626793	0.0911178435	0.0914076029	0.4328360079	0.1277919653	0.1189420161	0.1149519869	0.1078064390	0.1116957674	0.1106450227	0.1200763081	0.1248606026	0.1033153601	0.1190692561	0.3796812593	0.1278194211	0.3655011666	0.3145604723	0.3028851240	0.3177814523	0.3011638002	0.3111928095	0.3148751079	0.3059191422	0.3074636725	0.3397355186	0.2943429418	0.3331589678	0.3225726295	0.3244893762	0.3079083059	0.3336364285	0.3032677552	0.1035258462	0.3266820621	0.3372952836	0.2914118349	0.2853196154	0.2808320033	0.1104729894	0.2753413142	0.3051946256	0.3241462648	0.3243141158	0.3069791672	0.3704974403	0.3744301937	0.3150441959	0.2787120427	0.2892180656	0.2846676296	0.2860390653	0.2835619073	0.3232263762	0.3365990389	0.3424077611	0.3236570116	0.3100281544	0.3049137965	0.3216149662	0.3144788096	0.3164602052	0.3156728318	0.3271181558	0.3220120602	0.3261688638	0.2985325171	0.3645145868	0.1149402149	0.1176109343	0.0979836286	0.2247770453	0.3004838348	0.3103287474	0.2984085613	0.3218208851	0.3173221441	0.1055692744	0.4685628393	0.1394886138	0.3337939268
L25	0.3254691237	0.3283916142	0.3809350148	0.3824006169	0.1125394530	0.1157211940	0.1091916125	0.4716113691	0.1113979281	0.4334476692	0.1073607131	0.1090093482	0.0973012509	0.1015258931	0.0829796886	0.0000000000	0.1037771104	0.1077295896	0.0876806460	0.0945421272	0.4456474304	0.1242815718	0.1127551152	0.1232258394	0.1173234222	0.1229851808	0.1200719075	0.1141605609	0.1163294344	0.1129372189	0.1172823377	0.4356868563	0.1186145616	0.4041253023	0.3766862739	0.3789554095	0.3829381550	0.3772410643	0.3875261096	0.3850635186	0.3779364062	0.3830686476	0.3883739513	0.3861373920	0.3873798804	0.3885544936	0.3761050582	0.3797536422	0.3864893586	0.3833116663	0.1040890646	0.3890285583	0.3941721187	0.3833743168	0.3305463168	0.3400011434	0.1041740675	0.3292484773	0.3879789009	0.4012816492	0.3863370621	0.3828979823	0.3956271577	0.4077087392	0.3695310792	0.3655717841	0.3562959766	0.3551002390	0.3542196773	0.3609913762	0.3883757544	0.3807321519	0.3845529359	0.3944448237	0.3910293364	0.3650981919	0.3913190483	0.3788577525	0.3846266759	0.3917636637	0.3505090638	0.3865012501	0.3849586857	0.3834801912	0.3595804552	0.1091236460	0.1142405093	0.1120992968	0.2874930686	0.3325617720	0.3559199686	0.3634861435	0.3727135831	0.3791468386	0.1184698400	0.5108079993	0.1264517946	0.4026733455
L26	0.3198903825	0.3272719773	0.3715509901	0.3731811610	0.1132147024	0.1120686587	0.1042008513	0.4720033631	0.0987054027	0.4297326594	0.1043879109	0.1044947309	0.1029939825	0.1117255588	0.1055533181	0.1037771104	0.0000000000	0.0798021632	0.1022304129	0.1046765027	0.4521616036	0.1264714231	0.1227563921	0.1233939817	0.1227287659	0.1293379296	0.1256141913	0.1232128738	0.1260550388	0.1117991845	0.1130490792	0.4394081267	0.1109961907	0.4027411514	0.3661051899	0.3803572828	0.3820432076	0.3705330429	0.3812718011	0.3812619680	0.3761440168	0.3725015631	0.3744712813	0.3829072199	0.3852504714	0.3805017039	0.3767385980	0.3837750121	0.3800619504	0.3756154888	0.0958867926	0.3845091459	0.3909408182	0.3795512366	0.3277923143	0.3314874832	0.0961041175	0.3265565858	0.3869310038	0.3916914992	0.3807356760	0.3791889447	0.3930096708	0.4028616373	0.3663792129	0.3716740009	0.3649642407	0.3628113256	0.3642792729	0.3666171247	0.3867600642	0.3837688631	0.3855356400	0.3901254092	0.3879240475	0.3621853972	0.3915256933	0.3853117500	0.3856705707	0.3905827116	0.3559224657	0.3776913774	0.3865699452	0.3747259641	0.3695827304	0.1119117189	0.1190880439	0.1192310462	0.2975663403	0.3152251177	0.3623524800	0.3677660293	0.3704705886	0.3863614498	0.1159399579	0.5064314204	0.1334534207	0.3939328944
L27	0.3232777953	0.3238983391	0.3831969509	0.3856117784	0.1139533629	0.1132376233	0.0954969531	0.4626651549	0.0940591878	0.4385326273	0.1002604219	0.1023411857	0.1052389656	0.1139761539	0.1128626793	0.1077295896	0.0798021632	0.0000000000	0.1038425965	0.1074267936	0.4472577319	0.1307529594	0.1229543953	0.1245085685	0.1250176797	0.1267090477	0.1257434656	0.1242715794	0.1288133515	0.1169646938	0.1158899737	0.4360001599	0.1151598912	0.4011741839	0.3694486123	0.3667072384	0.3857091799	0.3762561239	0.3830955959	0.3848868444	0.3763053360	0.3814120365	0.3819697306	0.3818098607	0.3855045008	0.3823106485	0.3821557508	0.3837734024	0.3826850528	0.3709058234	0.0981504301	0.3813343659	0.3887375539	0.3799323061	0.3346497682	0.3328988460	0.1019356506	0.3211071348	0.3795033199	0.3877332017	0.3855933804	0.3845127499	0.3948410040	0.4090366334	0.3657430267	0.3734392453	0.3661262687	0.3624852066	0.3645827324	0.3682469420	0.3905614447	0.3805251160	0.3819388528	0.3880657121	0.3869464586	0.3632278390	0.3900649969	0.3749691764	0.3825579102	0.3867950249	0.3702858122	0.3817906122	0.3817795310	0.3785013812	0.3699264141	0.1158128275	0.1181732296	0.1191505577	0.2925133128	0.3366879293	0.3569902152	0.3635971329	0.3690409326	0.3815861505	0.1166207482	0.5003483840	0.1353619496	0.3910972234
L28	0.3193799917	0.3192436116	0.3715904155	0.3705098904	0.1127246240	0.1149867955	0.1092304682	0.4737573677	0.1088344898	0.4330149649	0.1003350650	0.1039677208	0.0990860691	0.1062513998	0.0911178435	0.0876806460	0.1022304129	0.1038425965	0.0000000000	0.0467909953	0.4406241836	0.1212961323	0.1158659819	0.1237640867	0.1190573626	0.1244573449	0.1223868517	0.1192373934	0.1298724589	0.1111069870	0.1188551714	0.4297161762	0.1153055265	0.3989377182	0.3636716743	0.3793660599	0.3765126926	0.3667106768	0.3759781725	0.3839507153	0.3669321009	0.3769648174	0.3754710780	0.3776353765	0.3807449528	0.3753061879	0.3729319660	0.3715484751	0.3804583530	0.3717004386	0.1059696486	0.3820543792	0.3827376234	0.3754045178	0.3292552372	0.3275115900	0.1038881427	0.3197211554	0.3787630413	0.3876062012	0.3818814228	0.3827894556	0.3945249376	0.4022586549	0.3661820188	0.3630449250	0.3639980776	0.3576429756	0.3551831692	0.3596163937	0.3757505015	0.3793868594	0.3805374878	0.3905030456	0.3838241551	0.3595300081	0.3889477457	0.3807919449	0.3819785576	0.3873945294	0.3639702894	0.3736869263	0.3782892193	0.3752682452	0.3984350385	0.1191441247	0.1138864878	0.1138589721	0.2927650170	0.3380201131	0.3502389435	0.3616252401	0.3694368882	0.3854140701	0.1147897398	0.5020122911	0.1221857324	0.3919228508
L29	0.3093597632	0.3052377866	0.3608636572	0.3593533126	0.1156825537	0.1175907384	0.1112825922	0.4556516318	0.1136860238	0.4286854016	0.1062098090	0.1079785095	0.1051011590	0.1126234632	0.0914076029	0.0945421272	0.1046765027	0.1074267936	0.0467909953	0.0000000000	0.4419423185	0.1200359506	0.1155218708	0.1208547113	0.1169724290	0.1228457697	0.1207718869	0.1137754490	0.1217946873	0.1131426349	0.1163823414	0.4318289548	0.1177495868	0.3887218961	0.3541373577	0.3595760427	0.3675900061	0.3589157837	0.3650667827	0.3660900770	0.3577767700	0.3660368778	0.3690684406	0.3619424564	0.3688172016	0.3615265938	0.3619538092	0.3627407531	0.3660461886	0.3665531257	0.1109805785	0.3659602549	0.3707013837	0.3643364244	0.3212989988	0.3268676669	0.1091106920	0.3160969145	0.3669109100	0.3762654801	0.3703588842	0.3708507897	0.3810010763	0.3940636663	0.3604900054	0.3489857287	0.3476425837	0.3477277663	0.3450921620	0.3481840605	0.3698594705	0.3631532551	0.3678870734	0.3739968885	0.3640552313	0.3564618568	0.3747290772	0.3630798085	0.3669369332	0.3736205814	0.3602840194	0.3682850868	0.3681162875	0.3595115424	0.3812792773	0.1097480197	0.1102761565	0.1164331175	0.2993078761	0.3312590985	0.3374006777	0.3390627722	0.3493075107	0.3657789896	0.1154738310	0.4968198968	0.1235187417	0.3808224402
